track_artist,released_year,danceability,energy,valence,tempo,number_of_songs
Alex Ferreira,2017,73.1,40.6,78.8,151.9,1
Alex Fosse,2019,63.5,76.1,33.7,99.9,1
Alex Gaudino,1905,64.1,97.7,38.1,128.1,1
Alex Gaudino,2019,67.5,67.4,41.4,125.0,1
Alex Guesta,2014,61.8,96.5,17.3,128.0,1
Alex Herrera,2020,73.9,81.6,59.8,121.0,1
Alex Isley,2018,79.7,42.9,67.0,130.0,1
Alex Jacke,2014,65.5,55.5,39.4,113.0,1
Alex Kenji,2012,56.5,87.9,19.8,128.0,1
Alex Kennon,2017,80.7,75.0,3.6,122.0,1
Alex Larke,2017,76.7,87.9,81.7,118.0,1
Alex Martura,2018,70.1,94.2,57.0,123.9,1
Alex Martura,2019,79.3,64.5,36.5,116.0,1
Alex Mattson,2019,64.5,86.0,58.4,147.1,1
Alex McArtor,2019,52.0,62.3,25.5,123.5,4
Alex Parker,2018,72.5,91.5,81.2,124.0,1
Alex Parker,2019,77.3,68.3,72.2,124.0,1
Alex Rose,2017,68.5,50.2,39.6,118.3,2
Alex Rose,2018,69.7,54.5,44.9,130.0,3
Alex Rose,2019,77.9,60.1,56.4,111.8,7
Alex Schulz,2019,61.3,69.4,58.9,126.0,1
Alex Sensation,2017,76.6,82.7,83.1,91.0,1
Alex Sensation,2019,67.9,71.3,92.2,189.9,1
Alex Soto,2019,80.4,69.5,82.5,99.0,2
Alex Turner,2011,58.0,68.2,77.4,77.5,1
Alex Ubago,2019,63.6,70.0,40.6,128.0,2
Alex Vargas,2015,52.9,71.8,26.7,123.0,1
Alex Zind,2019,75.5,94.0,64.5,122.0,1
Alex Zurdo,2014,69.4,89.4,75.2,124.0,2
Alex Zurdo,2016,75.4,94.4,64.5,110.0,1
Alex Zurdo,2017,70.8,84.5,56.5,92.0,1
Alex Zurdo,2018,66.3,83.9,41.0,91.0,1
AlexEps,2020,73.0,35.5,29.1,90.0,1
Alexander Lewis,2017,60.4,89.2,52.0,144.0,1
Alexander Lewis,2018,60.8,93.8,43.6,134.2,1
Alexander Lewis,2019,80.9,42.4,19.9,138.0,1
Alexander Popov,2019,51.2,77.9,26.4,128.0,1
Alexey Shelygin,2003,34.6,38.4,41.2,77.4,1
Alexio,2015,77.4,65.4,84.6,166.0,1
Alexis Chaires,2019,85.4,59.8,70.5,164.1,1
Alexis y Fido,1905,78.7,81.8,81.7,95.0,1
Alexis y Fido,2005,90.8,81.0,76.0,95.0,1
Alexis y Fido,2007,83.6,72.4,58.2,94.0,2
Alexis y Fido,2009,82.4,83.4,67.4,121.3,3
Alexis y Fido,2011,76.6,84.9,76.0,111.5,4
Alexis y Fido,2014,68.5,86.0,80.8,178.0,2
Alexis y Fido,2018,86.5,69.9,53.6,95.0,1
Alexx Mack,2017,55.9,64.2,20.3,100.1,1
Alfa Mist,2015,60.0,47.5,75.3,185.9,1
Alfie Connor,2015,61.0,65.0,49.7,137.1,2
Alfons,2019,70.5,84.6,39.3,136.0,3
Alfonzo Hunter,1996,77.9,47.7,54.6,89.0,1
Alfred Beck,2019,69.6,89.6,18.2,125.0,1
Algebra Blessett,2008,64.9,69.4,55.8,117.4,4
AlgoRythmik,2011,90.4,76.8,86.6,107.9,1
Ali Aka Mind,2014,46.3,69.4,43.8,184.4,1
Ali B,2019,52.0,87.6,47.6,99.8,1
Ali Bumaye,2016,63.5,70.7,29.6,84.7,1
Ali Gatie,2019,73.2,46.3,39.7,96.0,1
Ali Masare,2019,80.8,56.7,69.7,146.0,1
Ali Payami,2009,71.3,86.6,73.5,122.0,1
Alias,1990,41.2,37.6,15.3,69.1,1
Alice Cooper,1905,50.3,67.0,59.0,116.3,8
Alice Cooper,1976,37.4,66.3,51.9,166.1,1
Alice Cooper,1986,78.4,55.6,94.5,119.9,1
Alice Cooper,1989,28.0,90.8,26.0,118.7,1
Alice Cooper,2019,45.7,94.5,48.3,136.0,1
Alice DJ,1905,61.4,83.2,55.4,137.5,2
Alice Deejay,1905,67.4,77.2,76.2,137.0,1
Alice Francis,2014,93.1,82.8,86.1,112.0,1
Alice In Chains,1990,34.6,76.5,64.4,106.5,1
Alice Jemima,2017,79.0,41.4,57.4,85.0,1
Alice Russell,2008,63.9,67.4,84.4,139.2,1
Alice Smith,1905,70.0,47.3,52.8,123.0,1
Alice Smith,2013,65.6,73.6,74.6,139.0,2
Alicia Keys,2001,65.3,60.9,48.2,96.0,1
Alicia Keys,2003,43.6,55.4,20.8,142.8,2
Alicia Keys,2007,66.2,50.4,31.0,106.0,2
Alicia Keys,2012,51.7,55.4,26.9,80.0,2
Alicia Keys,2016,42.4,49.6,28.2,124.9,1
Alicia Keys,2019,70.4,69.8,61.3,117.6,2
Alicia Keys,2020,65.5,72.2,29.8,90.1,1
Alicia Madison,2018,46.1,77.3,26.6,131.1,1
Alien Ant Farm,2001,65.3,96.4,87.0,126.9,1
Alien Ant Farm,2003,61.3,94.2,80.2,144.0,1
Alien Family,2016,73.0,82.0,53.3,170.0,1
Alina Amuri,2018,72.4,50.9,42.7,148.0,1
Alina Baraz,2015,63.8,78.1,25.0,123.0,1
Alina Baraz,2017,64.2,45.4,24.4,119.5,2
Alina Baraz,2019,75.7,61.4,61.6,90.5,1
Alisha,2007,70.7,93.2,83.5,114.7,1
Alison Crockett,2010,77.4,58.0,54.7,90.0,1
Alison Darwin,2019,61.5,81.4,74.1,140.0,1
Alison Krauss,1905,55.4,22.0,58.2,109.6,1
Alison Wonderland,2015,59.8,82.8,34.2,147.5,2
Alison Wonderland,2019,36.2,68.4,38.9,85.2,1
Alive City,2019,33.8,59.8,38.8,84.0,1
Alizzmatic,2018,73.9,67.2,77.9,127.5,6
Alkaline,2015,74.6,73.3,53.9,100.2,1
Alkilados,2014,79.4,83.0,76.3,96.0,1
Alkilados,2015,63.4,85.1,92.6,190.2,1
Alkilados,2019,77.7,78.0,55.9,98.0,1
All Fires,2019,38.9,79.6,30.0,68.0,1
All Good Things,2013,59.0,88.8,34.4,123.0,1
All Harlem Music,2019,46.1,36.9,12.7,114.1,1
All Star Brasil,2019,77.0,50.6,64.5,121.9,1
All That Remains,2012,43.4,76.8,22.1,144.0,1
All Them Witches,2012,32.3,90.3,25.5,152.8,1
All Time Low,2008,49.6,74.9,49.2,141.6,9
All Time Low,2009,47.2,89.3,57.5,138.7,7
All Time Low,2011,49.8,94.6,68.7,137.0,3
Alle Farben,2019,71.5,78.7,48.1,118.4,4
Allegra,2019,68.9,89.3,63.2,119.9,1
Allen Stone,2012,56.6,52.8,45.1,149.4,2
Allie X,2019,59.6,56.2,31.2,106.1,2
Allstar Weekend,2011,68.3,94.3,77.6,129.0,1
Ally Brooke,2019,68.4,77.3,68.9,120.0,1
Alma Madre,2019,30.1,75.8,40.7,130.0,1
Alma Negra,2019,74.8,61.6,32.2,122.0,1
Almanij,2019,70.5,85.8,81.9,122.5,2
Almero,2020,64.3,83.9,21.1,128.1,1
Almighty,2017,80.1,67.9,50.0,123.1,1
Almighty,2019,89.3,66.5,65.7,100.0,1
