track_artist,released_year,averagePopularity,averagePopularity
Amy Winehouse,2003,28.5,28.5
Amy Winehouse,2006,52.25,52.2
Amy Winehouse,2007,65.0,65.0
Amy Winehouse,2011,60.0,60.0
Amy Winehouse,2015,63.0,63.0
Amyntas,2020,16.0,16.0
Ana Guerra,2019,57.0,57.0
Ana Tijoux,2012,0.0,0.0
Ana Torroja,2006,24.0,24.0
Ana Torroja,2019,48.0,48.0
Anaesthesia,2020,20.0,20.0
Anakena,2019,41.0,41.0
Analogik,2009,4.0,4.0
And One,1905,0.0,0.0
And One,2006,0.0,0.0
Anddy Caicedo,2019,45.0,45.0
Andeeno Damassy,2015,0.0,0.0
Anderson East,2015,45.0,45.0
Anderson East,2019,26.0,26.0
Andery Toronto,2017,38.0,38.0
Andery Toronto,2018,28.666666666666668,28.7
Andery Toronto,2019,25.0,25.0
Andra,2017,52.0,52.0
Andra Day,2015,47.5,47.5
Andra Day,2016,39.0,39.0
Andra Day,2017,39.0,39.0
Andra Day,2018,45.0,45.0
Andrea Bocelli,2019,55.0,55.0
Andrea Consoli,2019,42.0,42.0
Andrelli,2017,48.0,48.0
Andrew Applepie,2019,53.0,53.0
Andrew Belize,2018,18.0,18.0
Andrew Bird,1905,38.0,38.0
Andrew Gialanella,2019,1.0,1.0
Andrew Gold,1905,52.0,52.0
Andrew Mathers,2014,5.0,5.0
Andrew McMahon in the Wilderness,2014,60.0,60.0
Andrew McMahon in the Wilderness,2017,53.0,53.0
Andrew Rayel,2014,15.0,15.0
Andrew Rayel,2016,31.0,31.0
Andrew Rayel,2019,45.0,45.0
Andrew Ripp,2015,2.0,2.0
Andrew Roman,2019,47.0,47.0
Andrew Simple,2016,0.0,0.0
Andrew Sound,2019,30.0,30.0
Andreya Triana,2019,23.0,23.0
Andrezia,2019,38.0,38.0
Andwell,2019,20.0,20.0
Andy Aguilera,2016,36.0,36.0
Andy Gibb,1977,57.0,57.0
Andy Grammer,2015,42.5,42.5
Andy Grammer,2019,9.0,9.0
Andy Hart,2014,44.0,44.0
Andy Kulter,2018,10.0,10.0
Andy Mcgirr,2014,0.0,0.0
Andy Mineo,2018,52.0,52.0
Andy Mineo,2019,60.0,60.0
Andy Rivera,2017,0.0,0.0
Aneesh Chengappa,2017,0.0,0.0
Anexo Leiruk,2020,18.0,18.0
Anfa Rose,2017,51.0,51.0
Angel Grant,1998,19.0,19.0
Angel Olsen,2016,64.0,64.0
Angel Olsen,2019,60.0,60.0
Angel Y Khriz,1905,68.0,68.0
Angel Y Khriz,2007,25.0,25.0
Angel Y Khriz,2009,18.0,18.0
Angel Y Khriz,2010,0.0,0.0
Angel Y Khriz,2011,7.0,7.0
Angelic Upstarts,1905,33.0,33.0
Angelika Vee,2017,54.0,54.0
Angelique,1905,20.0,20.0
Angelo De Augustine,2019,54.0,54.0
Angelov,2019,51.0,51.0
Angie Stone,1999,42.0,42.0
Angie Stone,2001,47.0,47.0
Angie Stone,2005,10.0,10.0
Angie Stone,2010,5.0,5.0
Angie Stone,2012,23.0,23.0
Angus Maude,2017,0.0,0.0
Animal Picnic,2018,31.0,31.0
Animate Objects,2008,16.0,16.0
Animist,2019,0.0,0.0
Animotion,1996,30.0,30.0
Anirudh Ravichander,2017,44.0,44.0
Anita Baker,1986,61.0,61.0
Anitta,2017,71.5,71.5
Anitta,2019,72.33333333333333,72.3
Anja Kotar,2019,37.0,37.0
Anju,2020,35.0,35.0
Ann Marie,2019,64.0,64.0
Ann Peebles,1974,41.0,41.0
Anna Carina,2019,54.0,54.0
Anna Clendening,2018,69.0,69.0
Anna Margaret,2010,43.0,43.0
Anna of the North,2014,53.0,53.0
Anna of the North,2017,59.0,59.0
Anna of the North,2019,54.0,54.0
Annalisa,2019,65.0,65.0
Anne Clark,1987,37.0,37.0
Anne Clark,2010,33.0,33.0
Annella,2017,45.0,45.0
Annella,2018,41.5,41.5
Annella,2019,44.0,44.0
Annie Lux,2018,33.0,33.0
Annika Grace,2019,29.0,29.0
Anomalie,2017,38.0,38.0
Anomalie,2018,36.0,36.0
Anonimus,2020,44.0,44.0
Anonym,2017,38.0,38.0
Anonymuz,2017,32.0,32.0
Anonymuz,2018,27.0,27.0
Anonymuz,2019,43.0,43.0
Another Bad Creation,1905,35.0,35.0
Another Bad Creation,1993,40.0,40.0
Another Lost Year,2017,28.0,28.0
Ansel Elgort,2017,68.0,68.0
Anson Seabra,2019,68.0,68.0
Ansvh,2019,15.5,15.5
Ant Saunders,2019,89.0,89.0
Anthem Academy,2015,0.0,0.0
Anthony Dircson,2018,24.0,24.0
Anthony Dircson,2019,40.0,40.0
Anthony Hamilton,2003,46.75,46.8
Anthony Hamilton,2005,33.5,33.5
Anthony Hamilton,2006,44.0,44.0
Anthony Hamilton,2007,16.0,16.0
Anthony Hamilton,2008,37.0,37.0
Anthony Hamilton,2010,9.0,9.0
Anthony Hamilton,2011,41.666666666666664,41.7
Anthony Phillips,2014,28.0,28.0
Anthony Ramos,2019,43.0,43.0
Anti Lilly,2017,49.0,49.0
Anti Up,2018,46.0,46.0
Antoine Delvig,2019,31.0,31.0
Antoine Malye,2014,1.0,1.0
Antoine Villoutreix,2019,36.0,36.0
Antonio Cooke,2019,27.0,27.0
Antonio Garcia Isaac,2019,38.0,38.0
Antonio Neal,2005,4.0,4.0
Antonio Neal,2006,4.0,4.0
Antranig,2019,6.0,6.0
Antwillz,2019,30.0,30.0
Anuel AA,2016,74.0,74.0
Anuel AA,2017,64.0,64.0
Anuel AA,2018,40.125,40.1
Anuel AA,2019,80.0,80.0
Any Given Sin,2019,50.0,50.0
Any Victoria,2013,16.0,16.0
Anything Box,1990,23.5,23.5
Anything Box,2018,0.0,0.0
Apache,2015,50.0,50.0
Apashe,2018,55.0,55.0
Ape Drums,2014,35.0,35.0
Aphex Twin,2018,35.0,35.0
Apollo Brown,2018,0.0,0.0
Apollo LTD,2017,0.0,0.0
Apollo LTD,2018,0.0,0.0
Apollo LTD,2019,35.0,35.0
Apparel Wax,2018,34.0,34.0
Appyday,2018,30.0,30.0
April,2001,0.0,0.0
April Wine,1905,47.0,47.0
Aqua,1997,43.0,43.0
Aqua,2009,1.75,1.8
Aquagirl,2019,57.0,57.0
Aquariuz,2019,13.0,13.0
Aquilo,2015,39.0,39.0
Aquilo,2016,5.0,5.0
Aranda,2008,38.0,38.0
Arbour,2019,65.0,65.0
Arcade Fire,1905,66.0,66.0
Arcadia,1905,24.0,24.0
